name,minPlayers,maxPlayers,playingTime,yearPublished,averageRating,numPlays,userComment
"...and then, we held hands.",2,2,45,2015,6.01599,1,"Abstract, Card Game"
10 Down,3,5,20,2015,6.09524,0,Card Game
13 Clues,2,6,30,2016,6.61158,14,"Family, Deduction, Memory, Murder/Mystery"
5-Minute Dungeon,2,5,30,2017,6.93016,2,
7 Wonders,2,7,30,2010,7.68692,7,
7 Wonders Duel,2,2,30,2015,8.09571,38,
Agra,2,4,120,2017,7.29896,2,
Alchemists,2,4,120,2014,7.6486,2,"Strategy, Deduction, Fantasy"
Alhambra: Big Box,2,6,60,2009,7.49415,0,"Family, Strategy, City Building, Card Drafting"
Alien Artifacts,2,5,60,2017,6.56208,2,
Alien Frontiers,2,4,90,2010,7.36167,1,"Strategy, Dice, Science Fiction"
Amerigo,2,4,90,2013,7.44497,5,"Strategy, Nautical, Renaissance, Euro"
Anachrony,1,4,120,2017,8.07837,0,"Strategy, Economic, Science Fiction, Worker Placement"
Ancestree,2,6,20,2017,6.21823,4,
The Ancient World (Second Edition),2,4,90,2019,7.55087,0,
AquaSphere,2,4,100,2014,7.25578,3,"Strategy, Nautical, Science Fiction, Euro, Worker Placement, Area Control"
Arboretum,2,4,30,2015,7.2987,5,
Arcane Academy,2,4,45,2016,6.71798,1,"Fantasy, Card Drafting, Tile Placement"
Arena: For the Gods!,2,6,40,2017,6.45339,0,"Dice, Fighting, Mythology"
Ark Nova,1,4,150,2021,8.53734,105,"Strategy, Economic, Animals, Environmental, Card Drafting"
Art Decko,2,4,60,2021,6.92168,27,
Awkward Guests: The Walton Case,1,8,75,2016,7.58892,18,"Family, Deduction, Murder/Mystery"
Azul,2,4,45,2017,7.75598,221,"Abstract, Family"
Azul: Queen's Garden,2,4,60,2021,7.50761,3,"Abstract, Family"
Azul: Stained Glass of Sintra,2,4,45,2018,7.31561,26,"Abstract, Family"
Azul: Summer Pavilion,2,4,45,2019,7.64607,5,
Babylonia,2,4,60,2019,7.68015,2,
Barrage,1,4,120,2019,8.17524,2,
Barrage,1,4,120,2019,8.17524,2,
Between Two Castles of Mad King Ludwig,2,7,60,2018,7.24231,5,
Beyond the Sun,2,4,120,2020,7.94352,22,
Biblios,2,4,30,2007,7.19883,9,"Family, Strategy, Card Game, Medieval"
Blood Rage,2,4,90,2015,7.93552,9,"Strategy, Fantasy, Fighting, Mythology, Area Control, Card Drafting, Minis"
Bohnanza,2,7,45,1997,7.05441,4,"Family, Card Game, Farming, Negotiation, Set Collecting, Trading"
Bora Bora,2,4,120,2013,7.55408,0,
Brass: Birmingham,2,4,120,2018,8.6005,8,
Brass: Lancashire,2,4,120,2007,8.19125,1,
Brew,2,4,90,2021,7.10182,3,
Brook City,1,4,120,2019,7.27463,0,
Broom Service,2,5,75,2015,7.16744,9,
Calico,1,4,45,2020,7.55043,4,
Camel Up,2,8,30,2014,7.04119,4,
Camel Up (Second Edition),3,8,45,2018,7.58061,3,"Family, Dice, Racing, Betting"
Capital Lux,2,4,30,2016,7.00088,5,
Carcassonne,2,5,45,2000,7.41068,12,
Carnegie,1,4,120,2022,8.03662,4,
CATAN,3,4,120,1995,7.1004,20,"Family, Strategy, Economic, Negotiation, Dice, Trading"
