name,image,minPlayers,maxPlayers,playingTime,yearPublished,averageRating,numPlays,userComment
"...and then, we held hands.",https://cf.geekdo-images.com/Ft08woV-KG3HHfO-ET6S4Q__original/img/x7YkL7sqFAt2LAxgPx3MEv3ZMNI=/0x0/filters:format(jpeg)/pic2717772.jpg,2,2,45,2015,6.01599,1,"Abstract, Card Game"
10 Down,https://cf.geekdo-images.com/mXagRMef_UNguuTh6SGfvA__original/img/vGoASJKUAD6_fokRCUN19hSLTNw=/0x0/filters:format(jpeg)/pic2641330.jpg,3,5,20,2015,6.09524,0,Card Game
13 Clues,https://cf.geekdo-images.com/5Pr1akvb5-vMJB5Lvabi6w__original/img/ySz5OVSRpGAgehf69x4oFok2eYM=/0x0/filters:format(png)/pic5663962.png,2,6,30,2016,6.61158,14,"Family, Deduction, Memory, Murder/Mystery"
5-Minute Dungeon,https://cf.geekdo-images.com/bFZKvxPJ23dzGwgpOg-mIA__original/img/Pi321k82TYCMy0v6GqKZ3LHvBYM=/0x0/filters:format(png)/pic3213622.png,2,5,30,2017,6.93016,2,
7 Wonders,https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__original/img/jt70jJDZ1y1FWJs4ZQf5FI8APVY=/0x0/filters:format(jpeg)/pic7149798.jpg,2,7,30,2010,7.68692,7,
7 Wonders Duel,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__original/img/Ju836WNSaW7Mab9Vjq2TJ_FqhWQ=/0x0/filters:format(jpeg)/pic2576399.jpg,2,2,30,2015,8.09571,38,
Agra,https://cf.geekdo-images.com/cb8ydtRuQ-SADwD35oHX9w__original/img/04eMY8p7oP_tzCMfyzR2VdFWDNI=/0x0/filters:format(jpeg)/pic3621105.jpg,2,4,120,2017,7.29896,2,
Alchemists,https://cf.geekdo-images.com/ztNshEv3Fsm46HCJaEOFPw__original/img/SP4ItZ27dLweUPbz_bF7C-P7GtA=/0x0/filters:format(png)/pic2241156.png,2,4,120,2014,7.6486,2,"Strategy, Deduction, Fantasy"
Alhambra: Big Box,https://cf.geekdo-images.com/qZcmQvAUH6JJTpwGlqPwAA__original/img/c0OEuXcT_kd-y9aZ3ljE5wXOw74=/0x0/filters:format(jpeg)/pic535726.jpg,2,6,60,2009,7.49415,0,"Family, Strategy, City Building, Card Drafting"
Alien Artifacts,https://cf.geekdo-images.com/bQ0n-lmFt6_V4fcC_Di2Yw__original/img/23_WD9hYgxKAaTWfurtoPSYd46Y=/0x0/filters:format(jpeg)/pic3671706.jpg,2,5,60,2017,6.56208,2,
